id	title	content	category_id	demo_start_date	demo_end_date	demo_place	prefecture_id	demo_address_latitude	demo_address_longitude	organizer_user_id	created_at	updated_at	deleted_at
1	地域清掃ボランティア	地域の環境を守るため、毎週末に有志が集まり、街のごみ拾いや草刈りなどの清掃活動を行っています。	1	2025-01-05 08:00:00	2025-01-05 09:30:00	shibuya	1	35.661777000	139.704051000	10	2025-01-05 16:58:58	2025-07-10 10:50:01	NULL
2	災害復旧支援活動	この活動は、自然災害で被災した地域において、がれきの撤去や仮設住宅の整備、避難所での生活支援などを行うもので、全国から集まったボランティアが協力して住民の生活再建を目指しています。活動の中では安全確認や衛生管理も徹底され、被災者との信頼関係の構築が最重要とされます。毎日数十名単位で現場に入り、作業を分担しながら効率的に支援を行っています。復旧作業に加えて、心のケアを目的とした交流イベントや相談窓口の運営も行っており、子どもから高齢者までが安心して過ごせる環境づくりに寄与しています。さらに、ボランティアの宿泊や食事、移動に関する支援体制も整備され、長期的な活動が可能となっています。	2	2025-01-05 10:00:00	2025-01-05 12:00:00	shinjuku	1	35.689592000	139.700413000	10	2025-01-05 22:18:13	2025-07-10 10:50:01	NULL
3	子ども食堂支援	子どもたちに温かい食事と安心できる場所を提供する地域密着型の取り組みです。	3	2025-01-05 13:00:00	2025-01-05 14:30:00	ikebukuro	1	35.728926000	139.710380000	10	2025-01-05 22:18:13	2025-07-10 10:50:01	NULL
4	食料支援プロジェクト	経済的な理由で食事に困っている家庭や学生を対象に、週に数回、炊き出しや食品配布を行うプロジェクトです。この活動には地元の飲食店や農家、企業も協賛しており、食品ロスの削減にも貢献しています。また、支援を受ける人々との対話を通じて、それぞれの困りごとを聞き、必要に応じて生活相談や就労支援などの制度に繋げる支援も行われています。食事の提供だけでなく、居場所づくりや地域の交流の場としての機能も果たしており、誰一人取り残さない社会の実現を目指しています。	4	2025-01-15 09:00:00	2025-01-15 11:00:00	那覇	1	35.714765000	139.796655000	1	2025-01-08 01:21:18	2025-06-17 01:15:08	NULL
5	平和を願う集い	戦争のない世界を目指し、平和について考える機会を提供する集まりです。	5	2025-01-10 14:00:00	2025-01-10 15:30:00	辺野古	1	26.202222300	127.708866200	1	2025-01-10 19:22:59	2025-06-17 01:15:08	NULL
6	被爆者支援と証言継承	広島・長崎の被爆者から直接体験談を聞く機会を設け、次世代への平和の継承を目指します。証言会の開催、ドキュメント映像の上映、語り部養成講座など、多面的な取り組みを通して、核兵器廃絶への理解を深めています。また、被爆者の高齢化が進む中で、その記憶を記録として残すデジタルアーカイブ化も進められています。イベントでは若者の参加を促進し、SNSや動画配信を活用した発信にも力を入れています。	6	2025-01-13 08:30:00	2025-01-13 10:30:00	国会議事堂前	1	35.675888000	139.744858000	2	2025-01-13 04:37:15	2025-06-17 01:15:08	NULL
7	子ども遊びサポート	地域の公園で子どもたちと遊んだり、見守りを行ったりする活動です。	3	2025-01-13 13:00:00	2025-01-13 15:00:00	渋谷	1	35.659069900	139.700725900	2	2025-01-13 04:51:34	2025-06-17 01:15:08	NULL
8	地域学習支援教室	経済的な理由で塾に通えない子どもたちに、無料で学習支援を行うボランティア活動です。対象は小学生から高校生までで、ボランティア講師が個別に対応し、学校の宿題や受験対策をサポートします。多くの支援者が週末に集まり、教科ごとにブースを設けて丁寧に教えています。学力向上だけでなく、自信を持つこと、夢を描く力を育むことを大切にしています。	2	2025-01-18 09:00:00	2025-01-18 11:00:00	新潟市	1	37.906288400	139.114929800	1	2025-01-18 15:24:38	2025-06-17 01:15:08	NULL
9	自然観察会サポート	地域の自然を観察し、子どもたちに自然の大切さを伝えるイベントのサポート活動です。	1	2025-03-02 10:00:00	2025-03-02 12:00:00	那覇	1	26.212379300	127.680687700	1	2025-02-22 01:39:29	2025-06-17 01:15:08	NULL
10	環境教育イベント企画	地域の小学校や中学校と連携し、森林や川の保全、生態系の学びを深めるための体験型イベントを企画・運営します。参加する子どもたちは、実際に森に入り、専門家の指導のもと昆虫や植物の観察、間伐体験、木工ワークショップなどを行います。保護者も一緒に参加することで、家庭での環境意識の醸成にもつながっています。	2	2025-06-03 11:00:00	2025-06-03 12:30:00	東京都渋谷区	1	35.661777000	139.704051000	1	2025-06-03 14:37:03	2025-06-17 01:15:08	NULL
11	移民支援交流会	地域で暮らす外国人との交流イベントを通じ、相互理解と支援を進めます。	2	2025-06-03 14:00:00	2025-06-03 16:00:00	東京都渋谷区	1	35.661777000	139.704051000	1	2025-06-03 16:27:57	2025-06-17 01:15:08	NULL
12	外国人の日本語学習支援	移住者や技能実習生など、日本語に不慣れな外国人に対して、会話練習や読み書きの指導を行う活動です。日本の文化や制度についても紹介し、生活の不安を解消します。ボランティア講師は日本語教育の経験がなくても参加可能で、研修制度も整っており、安心して支援に関われます。	4	2025-06-14 08:00:00	2025-06-14 09:30:00	渋谷駅	1	35.658033900	139.701635800	1	2025-06-03 16:36:26	2025-06-17 01:15:08	NULL
13	高齢者の話し相手ボランティア	独居高齢者宅を訪問し、お話し相手や簡単な家事の手伝いを行う活動です。	6	2025-06-28 09:00:00	2025-06-28 11:00:00	那覇市上間郵便局	1	26.201913100	127.708380100	1	2025-06-03 16:39:12	2025-06-17 01:15:08	NULL
14	認知症サポーター育成講座	認知症への理解を深め、地域で支え合う力を育てる講座を定期開催しています。受講者はオレンジリングを身に着け、街中で困っている方に声をかけたり、必要な支援につなげたりする役割を担います。講座は医療・介護の専門職が講師を務め、実例に基づく学びが得られます。	6	2025-06-28 13:00:00	2025-06-28 15:30:00	那覇市上間郵便局	1	26.201913100	127.708380100	1	2025-06-03 16:39:43	2025-06-17 01:15:08	NULL
15	若者キャリア相談会	進学や就職に悩む若者に対し、専門家によるキャリアカウンセリングを実施します。	6	2025-06-28 16:00:00	2025-06-28 17:30:00	那覇市上間郵便局	1	26.201913100	127.708380100	1	2025-06-03 16:39:59	2025-06-17 01:15:08	NULL
16	不登校支援スペース運営	学校に行けない子どもたちの居場所を提供するためのフリースペースを運営。学習支援のほか、工作、料理、音楽など自由な活動を通じて自己肯定感を高めます。スタッフは福祉・教育分野の経験者が中心で、子どもや保護者と信頼関係を築きながら個々の課題に寄り添った支援を行います。	4	2025-06-28 10:00:00	2025-06-28 12:00:00	新宿駅前	1	35.690024100	139.697223700	1	2025-06-04 10:18:18	2025-06-17 01:15:08	NULL
17	献血キャンペーン案内	街頭での献血協力呼びかけを行い、必要な血液量の確保に貢献する活動です。	5	2025-06-28 14:00:00	2025-06-28 16:00:00	新宿御苑	1	35.685176300	139.710051700	1	2025-06-04 17:06:45	2025-06-17 01:15:08	NULL
18	医療従事者応援プロジェクト	コロナ禍で奮闘する医療従事者に感謝と応援の気持ちを届けるプロジェクト。寄付による差し入れや応援メッセージの掲示、子どもたちからの絵手紙展示などを通じて、医療現場に笑顔と力を届けています。	1	2025-06-28 08:00:00	2025-06-28 10:00:00	大宮駅	1	35.906448500	139.623854800	1	2025-06-04 18:02:47	2025-06-17 01:15:08	NULL
23	ホームレス支援活動	定期的な炊き出しや衣類配布、生活相談会を通じて、路上生活者の生活支援を行います。	5	2025-06-21 08:00:00	2025-06-21 10:00:00	那覇メインプレイス	1	26.225297500	127.694856900	10	2025-06-12 01:18:39	2025-06-17 01:15:08	NULL
24	生活困窮者自立支援プログラム	ホームレスや生活困窮者が自立できるよう、住居支援、就労支援、心のケアを含めた包括的な支援を行っています。地域の支援団体と行政が連携し、伴走型の支援体制を構築しています。	1	2025-06-16 18:51:30	2025-06-16 18:51:30	渋谷駅	1	35.658033900	139.701635800	10	2025-06-16 20:13:37	2025-06-17 01:15:08	NULL
25	若者の地域参加促進	地域課題に若者の視点を取り入れるため、ワークショップや地域活動への参加を促進します。	1	2025-06-16 20:14:22	2025-06-16 20:14:22	那覇市立上間小学校	1	26.202227500	127.702959200	10	2025-06-16 20:14:53	2025-06-17 01:15:08	NULL
26	地域自治体と連携した政策提言活動	若者の声を地域行政に届けるため、自治体との意見交換会やアンケート調査を実施し、住みよい街づくりに向けた提言を行っています。学生や若手社会人が中心となって構成され、年に数回、実際に市議会へ政策案を提出しています。	3	2025-06-28 10:00:00	2025-06-28 13:00:00	那覇国際高校	47	26.231387700	127.693568900	10	2025-06-16 21:58:44	2025-06-17 01:15:08	NULL
27	国民民主党を後押ししよう！	我々の生活を守る党を応援しよう。	4	2025-06-22 10:00:00	2025-06-22 14:00:00	乃木坂駅	13	35.666826600	139.726497100	10	2025-06-22 00:05:25	2025-06-22 00:05:25	NULL
28	沖縄共産党を応援しよう。	沖縄の主権を守る！	4	2025-06-22 11:30:00	2025-06-22 14:30:00	沖縄県庁前	47	26.212379300	127.680687700	10	2025-06-22 00:26:28	2025-06-22 00:26:28	NULL
29	あああ	あああああああああああああああああああああああああああああああああああああああああ。\n\nあああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああ。\nあああああああああああああああああああああああああああああああああああああああああああああああああああああああああああ。\n\nあああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああ。	1	2025-06-30 13:00:00	2025-06-30 16:00:00	東京駅	13	35.681299600	139.767065800	10	2025-06-30 00:00:00	2025-06-30 00:00:00	NULL
30	背景色テスト	灰色になっているか	1	2025-07-19 18:18:00	2025-07-19 20:18:00	東京駅	13	35.681299600	139.767065800	10	2025-07-04 18:19:28	2025-07-04 18:19:28	NULL
32	ナルトのテスト	いいいいいいい	1	2025-07-26 01:51:00	2025-07-26 12:51:00	神泉駅	13	35.657270400	139.693622700	12	2025-07-06 01:52:06	2025-07-06 01:52:06	NULL
33	りくのテスト	うううううう	3	2025-07-26 01:52:00	2025-07-26 07:52:00	恵比寿駅	13	35.646714500	139.710081800	13	2025-07-06 01:53:14	2025-07-06 01:53:14	NULL
34	参政党を応援しよう。	日本を取り戻そう！	4	2025-08-30 08:05:00	2025-08-30 12:05:00	新宿駅	13	35.689606700	139.700571300	23	2025-08-10 02:06:31	2025-08-10 02:06:31	NULL
35	農家の尊厳を取り戻す	時給10円と言われる農家の必要性を国に訴える。	5	2025-10-04 12:00:00	2025-10-04 15:00:00	国会議事堂前	13	35.673895900	139.744963400	2	2025-08-13 22:41:29	2025-08-13 22:41:29	NULL
36	農家の尊厳を取り戻す	時給10円と言われる農家の必要性を国に訴える。	5	2025-10-04 10:00:00	2025-10-04 15:00:00	国会議事堂前	13	35.673895900	139.744963400	2	2025-08-13 22:46:12	2025-08-13 22:46:12	NULL
37	石破やめろデモ	退陣を訴えるデモ	4	2025-10-25 14:00:00	2025-10-25 17:00:00	国会議事堂前	13	35.673895900	139.744963400	1	2025-10-05 11:49:07	2025-10-05 11:49:07	NULL
38	世襲をやめさせる	政治家の世襲をやめさせましょう。	4	2025-11-08 12:00:00	2025-11-08 15:00:00	渋谷駅	13	35.658033900	139.701635800	1	2025-10-05 12:49:35	2025-10-05 12:49:35	NULL
39	最低賃金をあげよう	地方の最低賃金をあげよう	5	2025-12-06 13:00:00	2025-12-06 17:00:00	秋田駅	5	39.716912100	140.129739700	1	2025-10-05 13:01:10	2025-10-05 13:01:10	NULL
40	テストデモ20251102	動物虐待を訴えましょう。\n皆ビーガンになろう。\nまずはベジタリアンからでも。	3	2026-01-18 14:00:00	2026-01-18 17:00:00	新宿駅	13	35.689606700	139.700571300	1	2025-11-02 01:05:20	2025-11-02 19:52:00	NULL
